1.png	grinning face	😀️	\U0001F600\U0000FE0F	U+1F600	grinning face
716.png	flag: Sweden	🇸🇪️	\U0001F1F8\U0001F1EA\U0000FE0F	U+1F1F8 U+1F1EA	flag: Sweden
717.png	flag: Singapore	🇸🇬️	\U0001F1F8\U0001F1EC\U0000FE0F	U+1F1F8 U+1F1EC	flag: Singapore
718.png	flag: St. Helena	🇸🇭️	\U0001F1F8\U0001F1ED\U0000FE0F	U+1F1F8 U+1F1ED	flag: St. Helena
719.png	flag: Slovenia	🇸🇮️	\U0001F1F8\U0001F1EE\U0000FE0F	U+1F1F8 U+1F1EE	flag: Slovenia
720.png	flag: Svalbard & Jan Mayen	🇸🇯️	\U0001F1F8\U0001F1EF\U0000FE0F	U+1F1F8 U+1F1EF	flag: Svalbard & Jan Mayen
721.png	flag: Slovakia	🇸🇰️	\U0001F1F8\U0001F1F0\U0000FE0F	U+1F1F8 U+1F1F0	flag: Slovakia
722.png	flag: Sierra Leone	🇸🇱️	\U0001F1F8\U0001F1F1\U0000FE0F	U+1F1F8 U+1F1F1	flag: Sierra Leone
723.png	flag: San Marino	🇸🇲️	\U0001F1F8\U0001F1F2\U0000FE0F	U+1F1F8 U+1F1F2	flag: San Marino
724.png	flag: Senegal	🇸🇳️	\U0001F1F8\U0001F1F3\U0000FE0F	U+1F1F8 U+1F1F3	flag: Senegal
725.png	flag: Somalia	🇸🇴️	\U0001F1F8\U0001F1F4\U0000FE0F	U+1F1F8 U+1F1F4	flag: Somalia
726.png	flag: Suriname	🇸🇷️	\U0001F1F8\U0001F1F7\U0000FE0F	U+1F1F8 U+1F1F7	flag: Suriname
727.png	flag: South Sudan	🇸🇸️	\U0001F1F8\U0001F1F8\U0000FE0F	U+1F1F8 U+1F1F8	flag: South Sudan
728.png	flag: São Tomé & Príncipe	🇸🇹️	\U0001F1F8\U0001F1F9\U0000FE0F	U+1F1F8 U+1F1F9	flag: São Tomé & Príncipe
729.png	flag: El Salvador	🇸🇻️	\U0001F1F8\U0001F1FB\U0000FE0F	U+1F1F8 U+1F1FB	flag: El Salvador
730.png	flag: Sint Maarten	🇸🇽️	\U0001F1F8\U0001F1FD\U0000FE0F	U+1F1F8 U+1F1FD	flag: Sint Maarten
731.png	flag: Syria	🇸🇾️	\U0001F1F8\U0001F1FE\U0000FE0F	U+1F1F8 U+1F1FE	flag: Syria
732.png	flag: Eswatini	🇸🇿️	\U0001F1F8\U0001F1FF\U0000FE0F	U+1F1F8 U+1F1FF	flag: Eswatini
733.png	flag: Tristan da Cunha	🇹🇦️	\U0001F1F9\U0001F1E6\U0000FE0F	U+1F1F9 U+1F1E6	flag: Tristan da Cunha
734.png	flag: Turks & Caicos Islands	🇹🇨️	\U0001F1F9\U0001F1E8\U0000FE0F	U+1F1F9 U+1F1E8	flag: Turks & Caicos Islands
735.png	flag: Chad	🇹🇩️	\U0001F1F9\U0001F1E9\U0000FE0F	U+1F1F9 U+1F1E9	flag: Chad
736.png	flag: French Southern Territories	🇹🇫️	\U0001F1F9\U0001F1EB\U0000FE0F	U+1F1F9 U+1F1EB	flag: French Southern Territories
737.png	flag: Togo	🇹🇬️	\U0001F1F9\U0001F1EC\U0000FE0F	U+1F1F9 U+1F1EC	flag: Togo
738.png	flag: Thailand	🇹🇭️	\U0001F1F9\U0001F1ED\U0000FE0F	U+1F1F9 U+1F1ED	flag: Thailand
739.png	flag: Tajikistan	🇹🇯️	\U0001F1F9\U0001F1EF\U0000FE0F	U+1F1F9 U+1F1EF	flag: Tajikistan
740.png	flag: Tokelau	🇹🇰️	\U0001F1F9\U0001F1F0\U0000FE0F	U+1F1F9 U+1F1F0	flag: Tokelau
741.png	flag: Timor-Leste	🇹🇱️	\U0001F1F9\U0001F1F1\U0000FE0F	U+1F1F9 U+1F1F1	flag: Timor-Leste
742.png	flag: Turkmenistan	🇹🇲️	\U0001F1F9\U0001F1F2\U0000FE0F	U+1F1F9 U+1F1F2	flag: Turkmenistan
743.png	flag: Tunisia	🇹🇳️	\U0001F1F9\U0001F1F3\U0000FE0F	U+1F1F9 U+1F1F3	flag: Tunisia
744.png	flag: Tonga	🇹🇴️	\U0001F1F9\U0001F1F4\U0000FE0F	U+1F1F9 U+1F1F4	flag: Tonga
745.png	flag: Turkey	🇹🇷️	\U0001F1F9\U0001F1F7\U0000FE0F	U+1F1F9 U+1F1F7	flag: Turkey
746.png	flag: Trinidad & Tobago	🇹🇹️	\U0001F1F9\U0001F1F9\U0000FE0F	U+1F1F9 U+1F1F9	flag: Trinidad & Tobago
747.png	flag: Tuvalu	🇹🇻️	\U0001F1F9\U0001F1FB\U0000FE0F	U+1F1F9 U+1F1FB	flag: Tuvalu
748.png	flag: Taiwan	🇹🇼️	\U0001F1F9\U0001F1FC\U0000FE0F	U+1F1F9 U+1F1FC	flag: Taiwan
749.png	flag: Tanzania	🇹🇿️	\U0001F1F9\U0001F1FF\U0000FE0F	U+1F1F9 U+1F1FF	flag: Tanzania
750.png	flag: Ukraine	🇺🇦️	\U0001F1FA\U0001F1E6\U0000FE0F	U+1F1FA U+1F1E6	flag: Ukraine
751.png	flag: Uganda	🇺🇬️	\U0001F1FA\U0001F1EC\U0000FE0F	U+1F1FA U+1F1EC	flag: Uganda
752.png	flag: U.S. Outlying Islands	🇺🇲️	\U0001F1FA\U0001F1F2\U0000FE0F	U+1F1FA U+1F1F2	flag: U.S. Outlying Islands
753.png	flag: United Nations	🇺🇳️	\U0001F1FA\U0001F1F3\U0000FE0F	U+1F1FA U+1F1F3	flag: United Nations
754.png	flag: United States	🇺🇸️	\U0001F1FA\U0001F1F8\U0000FE0F	U+1F1FA U+1F1F8	flag: United States
755.png	flag: Uruguay	🇺🇾️	\U0001F1FA\U0001F1FE\U0000FE0F	U+1F1FA U+1F1FE	flag: Uruguay
756.png	flag: Uzbekistan	🇺🇿️	\U0001F1FA\U0001F1FF\U0000FE0F	U+1F1FA U+1F1FF	flag: Uzbekistan
757.png	flag: Vatican City	🇻🇦️	\U0001F1FB\U0001F1E6\U0000FE0F	U+1F1FB U+1F1E6	flag: Vatican City
758.png	flag: St. Vincent & Grenadines	🇻🇨️	\U0001F1FB\U0001F1E8\U0000FE0F	U+1F1FB U+1F1E8	flag: St. Vincent & Grenadines
759.png	flag: Venezuela	🇻🇪️	\U0001F1FB\U0001F1EA\U0000FE0F	U+1F1FB U+1F1EA	flag: Venezuela
760.png	flag: British Virgin Islands	🇻🇬️	\U0001F1FB\U0001F1EC\U0000FE0F	U+1F1FB U+1F1EC	flag: British Virgin Islands
761.png	flag: U.S. Virgin Islands	🇻🇮️	\U0001F1FB\U0001F1EE\U0000FE0F	U+1F1FB U+1F1EE	flag: U.S. Virgin Islands
762.png	flag: Vietnam	🇻🇳️	\U0001F1FB\U0001F1F3\U0000FE0F	U+1F1FB U+1F1F3	flag: Vietnam
763.png	flag: Vanuatu	🇻🇺️	\U0001F1FB\U0001F1FA\U0000FE0F	U+1F1FB U+1F1FA	flag: Vanuatu
764.png	flag: Wallis & Futuna	🇼🇫️	\U0001F1FC\U0001F1EB\U0000FE0F	U+1F1FC U+1F1EB	flag: Wallis & Futuna
765.png	flag: Samoa	🇼🇸️	\U0001F1FC\U0001F1F8\U0000FE0F	U+1F1FC U+1F1F8	flag: Samoa
766.png	flag: Kosovo	🇽🇰️	\U0001F1FD\U0001F1F0\U0000FE0F	U+1F1FD U+1F1F0	flag: Kosovo
767.png	flag: Yemen	🇾🇪️	\U0001F1FE\U0001F1EA\U0000FE0F	U+1F1FE U+1F1EA	flag: Yemen
768.png	flag: Mayotte	🇾🇹️	\U0001F1FE\U0001F1F9\U0000FE0F	U+1F1FE U+1F1F9	flag: Mayotte
769.png	flag: South Africa	🇿🇦️	\U0001F1FF\U0001F1E6\U0000FE0F	U+1F1FF U+1F1E6	flag: South Africa
770.png	flag: Zambia	🇿🇲️	\U0001F1FF\U0001F1F2\U0000FE0F	U+1F1FF U+1F1F2	flag: Zambia
771.png	flag: Zimbabwe	🇿🇼️	\U0001F1FF\U0001F1FC\U0000FE0F	U+1F1FF U+1F1FC	flag: Zimbabwe
772.png	flag: England	🏴󠁧󠁢󠁥󠁮󠁧󠁿️	\U0001F3F4\U000E0067\U000E0062\U000E0065\U000E006E\U000E0067\U000E007F\U0000FE0F	U+1F3F4 U+E0067 U+E0062 U+E0065 U+E006E U+E0067 U+E007F	flag: England
773.png	flag: Scotland	🏴󠁧󠁢󠁳󠁣󠁴󠁿️	\U0001F3F4\U000E0067\U000E0062\U000E0073\U000E0063\U000E0074\U000E007F\U0000FE0F	U+1F3F4 U+E0067 U+E0062 U+E0073 U+E0063 U+E0074 U+E007F	flag: Scotland
774.png	flag: Wales	🏴󠁧󠁢󠁷󠁬󠁳󠁿️	\U0001F3F4\U000E0067\U000E0062\U000E0077\U000E006C\U000E0073\U000E007F\U0000FE0F	U+1F3F4 U+E0067 U+E0062 U+E0077 U+E006C U+E0073 U+E007F	flag: Wales
775.png	waving hand: light skin tone	👋🏻️	\U0001F44B\U0001F3FB\U0000FE0F	U+1F44B U+1F3FB	waving hand: light skin tone
776.png	waving hand: medium-light skin tone	👋🏼️	\U0001F44B\U0001F3FC\U0000FE0F	U+1F44B U+1F3FC	waving hand: medium-light skin tone
777.png	waving hand: medium skin tone	👋🏽️	\U0001F44B\U0001F3FD\U0000FE0F	U+1F44B U+1F3FD	waving hand: medium skin tone
778.png	waving hand: medium-dark skin tone	👋🏾️	\U0001F44B\U0001F3FE\U0000FE0F	U+1F44B U+1F3FE	waving hand: medium-dark skin tone
779.png	waving hand: dark skin tone	👋🏿️	\U0001F44B\U0001F3FF\U0000FE0F	U+1F44B U+1F3FF	waving hand: dark skin tone
780.png	raised back of hand: light skin tone	🤚🏻️	\U0001F91A\U0001F3FB\U0000FE0F	U+1F91A U+1F3FB	raised back of hand: light skin tone
781.png	raised back of hand: medium-light skin tone	🤚🏼️	\U0001F91A\U0001F3FC\U0000FE0F	U+1F91A U+1F3FC	raised back of hand: medium-light skin tone
782.png	raised back of hand: medium skin tone	🤚🏽️	\U0001F91A\U0001F3FD\U0000FE0F	U+1F91A U+1F3FD	raised back of hand: medium skin tone
783.png	raised back of hand: medium-dark skin tone	🤚🏾️	\U0001F91A\U0001F3FE\U0000FE0F	U+1F91A U+1F3FE	raised back of hand: medium-dark skin tone
784.png	raised back of hand: dark skin tone	🤚🏿️	\U0001F91A\U0001F3FF\U0000FE0F	U+1F91A U+1F3FF	raised back of hand: dark skin tone
785.png	hand with fingers splayed: light skin tone	🖐🏻️	\U0001F590\U0001F3FB\U0000FE0F	U+1F590 U+1F3FB	hand with fingers splayed: light skin tone
786.png	hand with fingers splayed: medium-light skin tone	🖐🏼️	\U0001F590\U0001F3FC\U0000FE0F	U+1F590 U+1F3FC	hand with fingers splayed: medium-light skin tone
787.png	hand with fingers splayed: medium skin tone	🖐🏽️	\U0001F590\U0001F3FD\U0000FE0F	U+1F590 U+1F3FD	hand with fingers splayed: medium skin tone
788.png	hand with fingers splayed: medium-dark skin tone	🖐🏾️	\U0001F590\U0001F3FE\U0000FE0F	U+1F590 U+1F3FE	hand with fingers splayed: medium-dark skin tone
789.png	hand with fingers splayed: dark skin tone	🖐🏿️	\U0001F590\U0001F3FF\U0000FE0F	U+1F590 U+1F3FF	hand with fingers splayed: dark skin tone
790.png	raised hand: light skin tone	✋🏻️	\U0000270B\U0001F3FB\U0000FE0F	U+270B U+1F3FB	raised hand: light skin tone
791.png	raised hand: medium-light skin tone	✋🏼️	\U0000270B\U0001F3FC\U0000FE0F	U+270B U+1F3FC	raised hand: medium-light skin tone
792.png	raised hand: medium skin tone	✋🏽️	\U0000270B\U0001F3FD\U0000FE0F	U+270B U+1F3FD	raised hand: medium skin tone
793.png	raised hand: medium-dark skin tone	✋🏾️	\U0000270B\U0001F3FE\U0000FE0F	U+270B U+1F3FE	raised hand: medium-dark skin tone
794.png	raised hand: dark skin tone	✋🏿️	\U0000270B\U0001F3FF\U0000FE0F	U+270B U+1F3FF	raised hand: dark skin tone
795.png	vulcan salute: light skin tone	🖖🏻️	\U0001F596\U0001F3FB\U0000FE0F	U+1F596 U+1F3FB	vulcan salute: light skin tone
796.png	vulcan salute: medium-light skin tone	🖖🏼️	\U0001F596\U0001F3FC\U0000FE0F	U+1F596 U+1F3FC	vulcan salute: medium-light skin tone
797.png	vulcan salute: medium skin tone	🖖🏽️	\U0001F596\U0001F3FD\U0000FE0F	U+1F596 U+1F3FD	vulcan salute: medium skin tone
798.png	vulcan salute: medium-dark skin tone	🖖🏾️	\U0001F596\U0001F3FE\U0000FE0F	U+1F596 U+1F3FE	vulcan salute: medium-dark skin tone
799.png	vulcan salute: dark skin tone	🖖🏿️	\U0001F596\U0001F3FF\U0000FE0F	U+1F596 U+1F3FF	vulcan salute: dark skin tone
800.png	OK hand: light skin tone	👌🏻️	\U0001F44C\U0001F3FB\U0000FE0F	U+1F44C U+1F3FB	OK hand: light skin tone
801.png	OK hand: medium-light skin tone	👌🏼️	\U0001F44C\U0001F3FC\U0000FE0F	U+1F44C U+1F3FC	OK hand: medium-light skin tone
802.png	OK hand: medium skin tone	👌🏽️	\U0001F44C\U0001F3FD\U0000FE0F	U+1F44C U+1F3FD	OK hand: medium skin tone
803.png	OK hand: medium-dark skin tone	👌🏾️	\U0001F44C\U0001F3FE\U0000FE0F	U+1F44C U+1F3FE	OK hand: medium-dark skin tone
804.png	OK hand: dark skin tone	👌🏿️	\U0001F44C\U0001F3FF\U0000FE0F	U+1F44C U+1F3FF	OK hand: dark skin tone
805.png	pinched fingers: light skin tone	🤌🏻️	\U0001F90C\U0001F3FB\U0000FE0F	U+1F90C U+1F3FB	pinched fingers: light skin tone
806.png	pinched fingers: medium-light skin tone	🤌🏼️	\U0001F90C\U0001F3FC\U0000FE0F	U+1F90C U+1F3FC	pinched fingers: medium-light skin tone
807.png	pinched fingers: medium skin tone	🤌🏽️	\U0001F90C\U0001F3FD\U0000FE0F	U+1F90C U+1F3FD	pinched fingers: medium skin tone
808.png	pinched fingers: medium-dark skin tone	🤌🏾️	\U0001F90C\U0001F3FE\U0000FE0F	U+1F90C U+1F3FE	pinched fingers: medium-dark skin tone
809.png	pinched fingers: dark skin tone	🤌🏿️	\U0001F90C\U0001F3FF\U0000FE0F	U+1F90C U+1F3FF	pinched fingers: dark skin tone
810.png	pinching hand: light skin tone	🤏🏻️	\U0001F90F\U0001F3FB\U0000FE0F	U+1F90F U+1F3FB	pinching hand: light skin tone
811.png	pinching hand: medium-light skin tone	🤏🏼️	\U0001F90F\U0001F3FC\U0000FE0F	U+1F90F U+1F3FC	pinching hand: medium-light skin tone
812.png	pinching hand: medium skin tone	🤏🏽️	\U0001F90F\U0001F3FD\U0000FE0F	U+1F90F U+1F3FD	pinching hand: medium skin tone
813.png	pinching hand: medium-dark skin tone	🤏🏾️	\U0001F90F\U0001F3FE\U0000FE0F	U+1F90F U+1F3FE	pinching hand: medium-dark skin tone
814.png	pinching hand: dark skin tone	🤏🏿️	\U0001F90F\U0001F3FF\U0000FE0F	U+1F90F U+1F3FF	pinching hand: dark skin tone
815.png	victory hand: light skin tone	✌🏻️	\U0000270C\U0001F3FB\U0000FE0F	U+270C U+1F3FB	victory hand: light skin tone
816.png	victory hand: medium-light skin tone	✌🏼️	\U0000270C\U0001F3FC\U0000FE0F	U+270C U+1F3FC	victory hand: medium-light skin tone
817.png	victory hand: medium skin tone	✌🏽️	\U0000270C\U0001F3FD\U0000FE0F	U+270C U+1F3FD	victory hand: medium skin tone
818.png	victory hand: medium-dark skin tone	✌🏾️	\U0000270C\U0001F3FE\U0000FE0F	U+270C U+1F3FE	victory hand: medium-dark skin tone
819.png	victory hand: dark skin tone	✌🏿️	\U0000270C\U0001F3FF\U0000FE0F	U+270C U+1F3FF	victory hand: dark skin tone
820.png	crossed fingers: light skin tone	🤞🏻️	\U0001F91E\U0001F3FB\U0000FE0F	U+1F91E U+1F3FB	crossed fingers: light skin tone
821.png	crossed fingers: medium-light skin tone	🤞🏼️	\U0001F91E\U0001F3FC\U0000FE0F	U+1F91E U+1F3FC	crossed fingers: medium-light skin tone
822.png	crossed fingers: medium skin tone	🤞🏽️	\U0001F91E\U0001F3FD\U0000FE0F	U+1F91E U+1F3FD	crossed fingers: medium skin tone
823.png	crossed fingers: medium-dark skin tone	🤞🏾️	\U0001F91E\U0001F3FE\U0000FE0F	U+1F91E U+1F3FE	crossed fingers: medium-dark skin tone
824.png	crossed fingers: dark skin tone	🤞🏿️	\U0001F91E\U0001F3FF\U0000FE0F	U+1F91E U+1F3FF	crossed fingers: dark skin tone
825.png	love-you gesture: light skin tone	🤟🏻️	\U0001F91F\U0001F3FB\U0000FE0F	U+1F91F U+1F3FB	love-you gesture: light skin tone
826.png	love-you gesture: medium-light skin tone	🤟🏼️	\U0001F91F\U0001F3FC\U0000FE0F	U+1F91F U+1F3FC	love-you gesture: medium-light skin tone
827.png	love-you gesture: medium skin tone	🤟🏽️	\U0001F91F\U0001F3FD\U0000FE0F	U+1F91F U+1F3FD	love-you gesture: medium skin tone
828.png	love-you gesture: medium-dark skin tone	🤟🏾️	\U0001F91F\U0001F3FE\U0000FE0F	U+1F91F U+1F3FE	love-you gesture: medium-dark skin tone
829.png	love-you gesture: dark skin tone	🤟🏿️	\U0001F91F\U0001F3FF\U0000FE0F	U+1F91F U+1F3FF	love-you gesture: dark skin tone
830.png	sign of the horns: light skin tone	🤘🏻️	\U0001F918\U0001F3FB\U0000FE0F	U+1F918 U+1F3FB	sign of the horns: light skin tone
831.png	sign of the horns: medium-light skin tone	🤘🏼️	\U0001F918\U0001F3FC\U0000FE0F	U+1F918 U+1F3FC	sign of the horns: medium-light skin tone
832.png	sign of the horns: medium skin tone	🤘🏽️	\U0001F918\U0001F3FD\U0000FE0F	U+1F918 U+1F3FD	sign of the horns: medium skin tone
833.png	sign of the horns: medium-dark skin tone	🤘🏾️	\U0001F918\U0001F3FE\U0000FE0F	U+1F918 U+1F3FE	sign of the horns: medium-dark skin tone
834.png	sign of the horns: dark skin tone	🤘🏿️	\U0001F918\U0001F3FF\U0000FE0F	U+1F918 U+1F3FF	sign of the horns: dark skin tone
835.png	call me hand: light skin tone	🤙🏻️	\U0001F919\U0001F3FB\U0000FE0F	U+1F919 U+1F3FB	call me hand: light skin tone
836.png	call me hand: medium-light skin tone	🤙🏼️	\U0001F919\U0001F3FC\U0000FE0F	U+1F919 U+1F3FC	call me hand: medium-light skin tone
837.png	call me hand: medium skin tone	🤙🏽️	\U0001F919\U0001F3FD\U0000FE0F	U+1F919 U+1F3FD	call me hand: medium skin tone
838.png	call me hand: medium-dark skin tone	🤙🏾️	\U0001F919\U0001F3FE\U0000FE0F	U+1F919 U+1F3FE	call me hand: medium-dark skin tone
839.png	call me hand: dark skin tone	🤙🏿️	\U0001F919\U0001F3FF\U0000FE0F	U+1F919 U+1F3FF	call me hand: dark skin tone
840.png	backhand index pointing left: light skin tone	👈🏻️	\U0001F448\U0001F3FB\U0000FE0F	U+1F448 U+1F3FB	backhand index pointing left: light skin tone
841.png	backhand index pointing left: medium-light skin tone	👈🏼️	\U0001F448\U0001F3FC\U0000FE0F	U+1F448 U+1F3FC	backhand index pointing left: medium-light skin tone
842.png	backhand index pointing left: medium skin tone	👈🏽️	\U0001F448\U0001F3FD\U0000FE0F	U+1F448 U+1F3FD	backhand index pointing left: medium skin tone
843.png	backhand index pointing left: medium-dark skin tone	👈🏾️	\U0001F448\U0001F3FE\U0000FE0F	U+1F448 U+1F3FE	backhand index pointing left: medium-dark skin tone
844.png	backhand index pointing left: dark skin tone	👈🏿️	\U0001F448\U0001F3FF\U0000FE0F	U+1F448 U+1F3FF	backhand index pointing left: dark skin tone
845.png	backhand index pointing right: light skin tone	👉🏻️	\U0001F449\U0001F3FB\U0000FE0F	U+1F449 U+1F3FB	backhand index pointing right: light skin tone
846.png	backhand index pointing right: medium-light skin tone	👉🏼️	\U0001F449\U0001F3FC\U0000FE0F	U+1F449 U+1F3FC	backhand index pointing right: medium-light skin tone
847.png	backhand index pointing right: medium skin tone	👉🏽️	\U0001F449\U0001F3FD\U0000FE0F	U+1F449 U+1F3FD	backhand index pointing right: medium skin tone
848.png	backhand index pointing right: medium-dark skin tone	👉🏾️	\U0001F449\U0001F3FE\U0000FE0F	U+1F449 U+1F3FE	backhand index pointing right: medium-dark skin tone
849.png	backhand index pointing right: dark skin tone	👉🏿️	\U0001F449\U0001F3FF\U0000FE0F	U+1F449 U+1F3FF	backhand index pointing right: dark skin tone
850.png	backhand index pointing up: light skin tone	👆🏻️	\U0001F446\U0001F3FB\U0000FE0F	U+1F446 U+1F3FB	backhand index pointing up: light skin tone
851.png	backhand index pointing up: medium-light skin tone	👆🏼️	\U0001F446\U0001F3FC\U0000FE0F	U+1F446 U+1F3FC	backhand index pointing up: medium-light skin tone
852.png	backhand index pointing up: medium skin tone	👆🏽️	\U0001F446\U0001F3FD\U0000FE0F	U+1F446 U+1F3FD	backhand index pointing up: medium skin tone
853.png	backhand index pointing up: medium-dark skin tone	👆🏾️	\U0001F446\U0001F3FE\U0000FE0F	U+1F446 U+1F3FE	backhand index pointing up: medium-dark skin tone
854.png	backhand index pointing up: dark skin tone	👆🏿️	\U0001F446\U0001F3FF\U0000FE0F	U+1F446 U+1F3FF	backhand index pointing up: dark skin tone
855.png	middle finger: light skin tone	🖕🏻️	\U0001F595\U0001F3FB\U0000FE0F	U+1F595 U+1F3FB	middle finger: light skin tone
856.png	middle finger: medium-light skin tone	🖕🏼️	\U0001F595\U0001F3FC\U0000FE0F	U+1F595 U+1F3FC	middle finger: medium-light skin tone
857.png	middle finger: medium skin tone	🖕🏽️	\U0001F595\U0001F3FD\U0000FE0F	U+1F595 U+1F3FD	middle finger: medium skin tone
858.png	middle finger: medium-dark skin tone	🖕🏾️	\U0001F595\U0001F3FE\U0000FE0F	U+1F595 U+1F3FE	middle finger: medium-dark skin tone
859.png	middle finger: dark skin tone	🖕🏿️	\U0001F595\U0001F3FF\U0000FE0F	U+1F595 U+1F3FF	middle finger: dark skin tone
860.png	backhand index pointing down: light skin tone	👇🏻️	\U0001F447\U0001F3FB\U0000FE0F	U+1F447 U+1F3FB	backhand index pointing down: light skin tone
861.png	backhand index pointing down: medium-light skin tone	👇🏼️	\U0001F447\U0001F3FC\U0000FE0F	U+1F447 U+1F3FC	backhand index pointing down: medium-light skin tone
862.png	backhand index pointing down: medium skin tone	👇🏽️	\U0001F447\U0001F3FD\U0000FE0F	U+1F447 U+1F3FD	backhand index pointing down: medium skin tone
863.png	backhand index pointing down: medium-dark skin tone	👇🏾️	\U0001F447\U0001F3FE\U0000FE0F	U+1F447 U+1F3FE	backhand index pointing down: medium-dark skin tone
864.png	backhand index pointing down: dark skin tone	👇🏿️	\U0001F447\U0001F3FF\U0000FE0F	U+1F447 U+1F3FF	backhand index pointing down: dark skin tone
865.png	index pointing up: light skin tone	☝🏻️	\U0000261D\U0001F3FB\U0000FE0F	U+261D U+1F3FB	index pointing up: light skin tone
866.png	index pointing up: medium-light skin tone	☝🏼️	\U0000261D\U0001F3FC\U0000FE0F	U+261D U+1F3FC	index pointing up: medium-light skin tone
867.png	index pointing up: medium skin tone	☝🏽️	\U0000261D\U0001F3FD\U0000FE0F	U+261D U+1F3FD	index pointing up: medium skin tone
868.png	index pointing up: medium-dark skin tone	☝🏾️	\U0000261D\U0001F3FE\U0000FE0F	U+261D U+1F3FE	index pointing up: medium-dark skin tone
869.png	index pointing up: dark skin tone	☝🏿️	\U0000261D\U0001F3FF\U0000FE0F	U+261D U+1F3FF	index pointing up: dark skin tone
870.png	thumbs up: light skin tone	👍🏻️	\U0001F44D\U0001F3FB\U0000FE0F	U+1F44D U+1F3FB	thumbs up: light skin tone
871.png	thumbs up: medium-light skin tone	👍🏼️	\U0001F44D\U0001F3FC\U0000FE0F	U+1F44D U+1F3FC	thumbs up: medium-light skin tone
872.png	thumbs up: medium skin tone	👍🏽️	\U0001F44D\U0001F3FD\U0000FE0F	U+1F44D U+1F3FD	thumbs up: medium skin tone
873.png	thumbs up: medium-dark skin tone	👍🏾️	\U0001F44D\U0001F3FE\U0000FE0F	U+1F44D U+1F3FE	thumbs up: medium-dark skin tone
874.png	thumbs up: dark skin tone	👍🏿️	\U0001F44D\U0001F3FF\U0000FE0F	U+1F44D U+1F3FF	thumbs up: dark skin tone
875.png	thumbs down: light skin tone	👎🏻️	\U0001F44E\U0001F3FB\U0000FE0F	U+1F44E U+1F3FB	thumbs down: light skin tone
876.png	thumbs down: medium-light skin tone	👎🏼️	\U0001F44E\U0001F3FC\U0000FE0F	U+1F44E U+1F3FC	thumbs down: medium-light skin tone
877.png	thumbs down: medium skin tone	👎🏽️	\U0001F44E\U0001F3FD\U0000FE0F	U+1F44E U+1F3FD	thumbs down: medium skin tone
878.png	thumbs down: medium-dark skin tone	👎🏾️	\U0001F44E\U0001F3FE\U0000FE0F	U+1F44E U+1F3FE	thumbs down: medium-dark skin tone
879.png	thumbs down: dark skin tone	👎🏿️	\U0001F44E\U0001F3FF\U0000FE0F	U+1F44E U+1F3FF	thumbs down: dark skin tone
880.png	raised fist: light skin tone	✊🏻️	\U0000270A\U0001F3FB\U0000FE0F	U+270A U+1F3FB	raised fist: light skin tone
881.png	raised fist: medium-light skin tone	✊🏼️	\U0000270A\U0001F3FC\U0000FE0F	U+270A U+1F3FC	raised fist: medium-light skin tone
882.png	raised fist: medium skin tone	✊🏽️	\U0000270A\U0001F3FD\U0000FE0F	U+270A U+1F3FD	raised fist: medium skin tone
883.png	raised fist: medium-dark skin tone	✊🏾️	\U0000270A\U0001F3FE\U0000FE0F	U+270A U+1F3FE	raised fist: medium-dark skin tone
884.png	raised fist: dark skin tone	✊🏿️	\U0000270A\U0001F3FF\U0000FE0F	U+270A U+1F3FF	raised fist: dark skin tone
885.png	oncoming fist: light skin tone	👊🏻️	\U0001F44A\U0001F3FB\U0000FE0F	U+1F44A U+1F3FB	oncoming fist: light skin tone
886.png	oncoming fist: medium-light skin tone	👊🏼️	\U0001F44A\U0001F3FC\U0000FE0F	U+1F44A U+1F3FC	oncoming fist: medium-light skin tone
887.png	oncoming fist: medium skin tone	👊🏽️	\U0001F44A\U0001F3FD\U0000FE0F	U+1F44A U+1F3FD	oncoming fist: medium skin tone
888.png	oncoming fist: medium-dark skin tone	👊🏾️	\U0001F44A\U0001F3FE\U0000FE0F	U+1F44A U+1F3FE	oncoming fist: medium-dark skin tone
889.png	oncoming fist: dark skin tone	👊🏿️	\U0001F44A\U0001F3FF\U0000FE0F	U+1F44A U+1F3FF	oncoming fist: dark skin tone
890.png	left-facing fist: light skin tone	🤛🏻️	\U0001F91B\U0001F3FB\U0000FE0F	U+1F91B U+1F3FB	left-facing fist: light skin tone
891.png	left-facing fist: medium-light skin tone	🤛🏼️	\U0001F91B\U0001F3FC\U0000FE0F	U+1F91B U+1F3FC	left-facing fist: medium-light skin tone
892.png	left-facing fist: medium skin tone	🤛🏽️	\U0001F91B\U0001F3FD\U0000FE0F	U+1F91B U+1F3FD	left-facing fist: medium skin tone
893.png	left-facing fist: medium-dark skin tone	🤛🏾️	\U0001F91B\U0001F3FE\U0000FE0F	U+1F91B U+1F3FE	left-facing fist: medium-dark skin tone
894.png	left-facing fist: dark skin tone	🤛🏿️	\U0001F91B\U0001F3FF\U0000FE0F	U+1F91B U+1F3FF	left-facing fist: dark skin tone
895.png	right-facing fist: light skin tone	🤜🏻️	\U0001F91C\U0001F3FB\U0000FE0F	U+1F91C U+1F3FB	right-facing fist: light skin tone
896.png	right-facing fist: medium-light skin tone	🤜🏼️	\U0001F91C\U0001F3FC\U0000FE0F	U+1F91C U+1F3FC	right-facing fist: medium-light skin tone
